filename	kind	width	height	article_section	section	purpose	source_url	author	published_at	timestamp	verification	provenance	expiry_risk
pull-request-tabs-changed-files.png	official-ui-screenshot	1308	122	审查 PR 的改动范围	进入 Files changed	证明 PR 页面可以从 Conversation/Commits/Checks 切换到 Files changed，开始按文件审查	https://docs.github.com/en/pull-requests/how-tos/review-pull-requests/reviewing-proposed-changes-in-a-pull-request	GitHub Docs	未标注	不适用	已打开原图并核验尺寸与画面	official	GitHub 页面 UI 可能更新；2026-09-04 核验
diff-settings-menu.png	official-ui-screenshot	2288	656	审查 PR 的改动范围	调整 diff 视图	证明审查者可以选择 Unified/Split，并勾选 Hide whitespace 后应用设置	https://docs.github.com/en/pull-requests/how-tos/review-pull-requests/reviewing-proposed-changes-in-a-pull-request	GitHub Docs	未标注	不适用	已打开原图并核验尺寸与画面	official	GitHub 页面 UI 可能更新；2026-09-04 核验
review-changes-button.png	official-ui-screenshot	2114	416	提交审查意见	开始 review	证明 Files changed 页面右上方存在 Review changes 入口	https://docs.github.com/en/pull-requests/how-tos/review-pull-requests/reviewing-proposed-changes-in-a-pull-request	GitHub Docs	未标注	不适用	已打开原图并核验尺寸与画面	official	GitHub 页面 UI 可能更新；2026-09-04 核验
abandon-review-button.png	official-ui-screenshot	1316	1078	提交审查意见	填写并选择 review 类型	证明 Finish your review 面板提供 Comment、Approve、Request changes 三种审查类型，并有 Submit review 操作	https://docs.github.com/en/pull-requests/how-tos/review-pull-requests/reviewing-proposed-changes-in-a-pull-request	GitHub Docs	未标注	不适用	已打开原图并核验尺寸与画面	official	GitHub 页面 UI 可能更新；2026-09-04 核验
viewed-checkbox.png	official-ui-screenshot	2150	112	审查完成后的范围确认	标记文件已查看	证明审查者可以对完成检查的文件勾选 Viewed，使范围确认可追踪	https://docs.github.com/en/pull-requests/how-tos/review-pull-requests/reviewing-proposed-changes-in-a-pull-request	GitHub Docs	未标注	不适用	已打开原图并核验尺寸与画面	official	GitHub 页面 UI 可能更新；2026-09-04 核验
01-commit-pr-evidence-terminal.png	author-screenshot	1113	1213	提交范围与提交目的	本机终端证据	证明 PowerShell/Git 版本、diff 检查、login.txt 的交互式暂存和当前停在 git add -p 输入提示；README.md 的无关修改仍未暂存	https://docs.github.com/en/pull-requests/how-tos/review-pull-requests/reviewing-proposed-changes-in-a-pull-request	用户提供的本机截图	不适用	不适用	已按用户附件裁剪并打开检查；未执行脱敏处理	author-supplied-local	截图含本机用户名和临时路径；发布前按需要裁掉或打码；2026-09-04 核验
01-hiapi-commit-scope-20260904.png	generated-concept	1600	900	提交范围与提交目的	单一行为变化	解释 diff 进入一个聚焦提交、无关改动留在工作区	https://api.hiapi.ai/v1/tasks	HiAPI	2026-09-04	tk-hiapi-01M1PGW7ZARGHX41VFA28N5KA2	已打开原图并核验；无可读文字、账号、路径、令牌或水印；四角透明、边框和阴影已验收	generated-hiapi	无；概念插图
02-hiapi-pr-evidence-20260904.png	generated-concept	1600	900	PR 描述与证据	PR 描述字段	解释改动、动机、验证、风险与回滚字段的关系	https://api.hiapi.ai/v1/tasks	HiAPI	2026-09-04	tk-hiapi-01M1PGW7ZQZ5SK449JTT6VR511	已打开原图并核验；无可读文字、账号、路径、令牌或水印；四角透明、边框和阴影已验收	generated-hiapi	无；概念插图
03-hiapi-review-loop.png	generated-concept	1280	720	未采用	探索图（未进入正文）	已生成并核验，但未作为发布正文配图使用	https://api.hiapi.ai/v1/tasks	HiAPI	2026-09-04	tk-hiapi-01M1NRNEFTWZM7JY8PRS9YYEVQ	已打开原图并核验；无文字和敏感信息	generated-hiapi	无；未采用，不计入正文配图数量
02-terminal-initialize.png	author-screenshot	2064	1511	提交范围与提交目的	初始化与差异统计	证明初始化示例仓库后可以用 git status --short 和 git diff --stat 确认工作区存在两类改动	不适用	案例终端截图	不适用	2026-09-04	已打开原图并核验尺寸与画面；发布图已遮挡本机路径	author-supplied-local	原图含本机用户名和临时路径；发布前已用纯色不可逆遮挡	2026-09-04 核验
03-terminal-diff.png	author-screenshot	2064	1374	提交范围与提交目的	diff 检查与完整差异	证明 git diff --check、完整 diff 以及 README.md 与 login.txt 的具体变化可逐项核对	不适用	案例终端截图	不适用	2026-09-04	已打开原图并核验尺寸与画面；发布图已遮挡本机路径	author-supplied-local	原图含本机用户名和临时路径；发布前已用纯色不可逆遮挡	2026-09-04 核验
04-terminal-commit.png	author-screenshot	2064	1511	提交范围与提交目的	交互式暂存与提交复核	证明 git add -p 只暂存 login.txt，提交后可用 git show 和 git status --short 复核范围	不适用	案例终端截图	不适用	2026-09-04	已打开原图并核验尺寸与画面；发布图已遮挡本机路径	author-supplied-local	原图含本机用户名和临时路径；发布前已用纯色不可逆遮挡	2026-09-04 核验
05-terminal-followup-initialize.png	author-screenshot	1730	1524	提交范围与提交目的	补充初始化与工作区状态	补充证明一次性示例仓库初始化后 README.md 与 login.txt 均存在未提交修改	不适用	用户补充的本机终端截图	不适用	2026-09-04	已打开原图并核验；不作为正文发布图	author-supplied-local	含本机用户名和临时路径；仅作为备份证据
06-terminal-followup-diff-and-stage.png	author-screenshot	2560	1528	提交范围与提交目的	diff 检查与交互式暂存	补充证明 git diff --check、完整 diff 以及 git add -p 只选择 login.txt 的过程	不适用	用户补充的本机终端截图	不适用	2026-09-04	已打开原图并核验；不作为正文发布图	author-supplied-local	含本机用户名和临时路径；仅作为备份证据
07-terminal-followup-commit.png	author-screenshot	1730	1147	交互式暂存与提交复核	提交后范围复核	补充证明暂存区只包含 login.txt，提交后可用 git show 和 git status --short 复核范围	不适用	用户补充的本机终端截图	不适用	2026-09-04	已打开原图并核验；不作为正文发布图	author-supplied-local	含本机用户名和临时路径；仅作为备份证据
